case_id,ground_truth,alg_01,alg_02,alg_03,alg_04,alg_05
1,3,3,3,3,3,3
2,3,1,3,3,3,3
3,0,2,0,0,0,0
4,2,1,2,2,1,2
5,1,1,0,1,1,1
6,0,0,0,0,0,0
7,1,1,0,1,1,1
8,3,3,3,2,3,1
9,0,0,2,0,0,0
10,2,2,2,2,2,2
11,3,3,3,3,3,3
12,2,2,2,2,2,2
13,2,2,2,2,2,2
14,3,3,3,2,3,3
15,2,2,2,2,2,2
16,1,1,1,1,1,1
17,1,1,0,1,1,1
18,3,3,3,3,3,3
19,3,3,3,1,3,3
20,3,3,3,2,3,2
21,1,1,1,1,1,0
22,2,2,2,2,3,2
23,1,1,1,2,1,1
24,1,1,3,1,0,1
25,3,0,1,3,3,3
26,0,0,0,0,0,0
27,3,3,0,3,3,3
28,0,0,0,0,0,0
29,3,3,3,3,1,3
30,0,2,0,0,0,1
31,2,2,2,2,2,2
32,1,1,1,2,1,1
33,0,2,3,0,0,0
34,3,3,3,3,3,3
35,0,0,0,0,0,0
36,0,0,0,3,3,1
37,0,0,0,0,0,0
38,1,1,1,1,1,1
39,1,1,3,2,3,1
40,3,3,3,3,3,3
41,3,3,3,3,3,3
42,0,0,0,0,0,2
43,0,0,1,0,0,0
44,2,2,2,2,3,2
45,2,2,3,2,2,0
46,2,2,2,2,2,2
47,0,0,0,0,0,0
48,1,1,2,1,0,1
49,3,3,3,3,3,3
50,0,0,0,0,0,0
51,0,0,0,0,1,0
52,1,1,1,1,3,1
53,1,0,2,1,1,1
54,3,3,3,3,3,3
55,2,2,2,2,3,2
56,2,2,2,1,2,2
57,0,0,3,0,0,2
58,2,3,2,2,2,2
59,0,0,0,0,0,0
60,3,3,3,0,3,3
61,2,2,2,2,2,2
62,3,3,3,3,3,3
63,2,2,2,3,0,2
64,2,1,2,2,2,2
65,0,2,0,0,0,0
66,0,0,0,0,0,0
67,3,3,3,3,3,2
68,1,1,1,2,1,1
69,0,0,0,2,0,0
70,3,3,3,2,3,3
71,1,1,1,1,1,1
72,3,3,3,3,2,3
73,1,3,1,1,1,1
74,0,0,0,0,0,0
75,3,3,0,1,3,3
76,1,3,1,0,1,1
77,1,1,1,1,1,1
78,1,3,1,1,2,1
79,2,2,2,2,0,2
80,3,3,0,3,1,0
81,3,2,3,3,1,3
82,0,0,0,2,0,3
83,2,0,2,2,3,2
84,3,3,3,0,3,3
85,1,1,1,1,1,1
86,3,3,3,3,3,3
87,3,3,1,3,0,3
88,1,1,2,1,1,1
89,2,2,2,0,2,2
90,1,1,1,1,1,1
91,1,1,1,1,1,1
92,2,2,2,2,2,2
93,3,3,3,3,3,3
94,2,2,2,2,1,2
95,2,2,2,2,1,2
96,2,2,2,2,2,1
97,0,0,3,1,0,0
98,3,3,3,3,3,3
99,2,2,2,2,2,2
100,1,1,1,1,3,1
101,2,0,2,2,2,2
102,2,2,2,2,2,2
103,3,1,3,3,3,3
104,0,3,1,0,3,0
105,3,3,3,3,3,3
106,0,0,0,1,3,0
107,2,0,2,2,2,2
108,2,2,1,2,3,2
109,2,2,2,2,2,2
110,3,2,3,3,2,3
111,3,3,0,2,3,3
112,3,3,3,3,3,3
113,0,3,2,0,3,2
114,0,0,3,0,0,0
115,3,3,2,3,3,2
116,1,1,1,1,1,1
117,3,3,3,0,3,3
118,0,0,3,3,0,3
119,1,1,0,1,1,1
120,1,1,0,1,1,2
121,2,2,2,2,2,0
122,2,1,2,0,2,1
123,0,0,0,0,0,0
124,3,3,3,3,3,3
125,3,3,0,1,3,3
126,3,3,0,3,3,3
127,1,1,1,1,1,1
128,2,3,2,0,2,2
129,3,3,3,3,3,3
130,3,3,2,3,2,3
131,3,1,3,1,0,3
132,3,3,3,3,3,3
133,1,1,1,1,1,1
134,0,0,0,0,0,0
135,1,1,1,1,1,1
136,3,3,1,3,3,3
137,3,3,3,3,3,3
138,2,2,2,2,2,2
139,3,3,3,3,1,3
140,0,3,0,0,0,0
141,2,1,2,3,2,1
142,0,0,0,0,0,0
143,0,1,0,0,0,3
144,1,1,1,0,1,1
145,1,1,1,2,1,1
146,1,1,1,1,1,1
147,1,1,1,1,1,1
148,0,0,0,3,0,0
149,2,2,2,2,3,2
150,3,1,3,3,3,3
151,1,1,1,3,1,1
152,1,1,1,1,1,1
153,0,0,0,0,2,0
154,2,3,2,2,2,2
155,3,3,3,3,3,3
156,0,0,0,0,0,0
157,2,3,2,3,2,2
158,2,2,2,2,2,3
159,0,0,3,2,0,0
160,0,0,0,0,0,0
161,0,0,0,0,0,0
162,3,1,3,3,3,3
163,2,3,2,2,2,2
164,1,1,1,1,1,1
165,3,3,3,3,3,2
166,0,0,1,0,0,0
167,3,3,2,3,3,3
168,2,2,2,0,2,2
169,0,0,0,3,2,0
170,2,2,2,2,3,2
171,1,3,1,1,1,1
172,0,0,0,1,0,3
173,1,1,1,0,0,1
174,0,0,0,0,0,0
175,2,2,2,2,2,2
176,1,0,1,1,1,1
177,0,0,0,0,0,0
178,2,2,2,2,3,2
179,0,0,0,0,0,0
180,1,3,1,1,1,1
181,0,1,3,0,0,0
182,1,1,1,1,1,2
183,3,3,3,3,3,3
184,0,0,0,0,0,3
185,3,0,0,2,3,3
186,2,2,3,2,2,2
187,3,3,3,3,3,3
188,3,3,3,3,3,2
189,0,0,0,0,0,0
190,3,3,3,3,3,3
191,3,3,3,3,3,0
192,3,3,3,0,3,3
193,1,1,1,1,1,1
194,3,3,3,3,0,3
195,2,2,2,0,2,2
196,1,1,1,3,1,1
197,1,3,1,1,1,1
198,2,2,2,2,2,2
199,0,0,0,3,0,0
200,2,2,2,2,1,2
201,0,0,0,0,0,0
202,2,2,3,2,2,2
203,0,0,0,0,2,0
204,3,3,3,3,3,1
205,0,0,0,3,0,0
206,2,2,2,2,3,2
207,1,1,1,1,1,1
208,2,2,2,2,2,2
209,3,3,3,1,3,3
210,3,3,3,1,3,2
211,1,1,1,1,2,1
212,0,0,0,0,0,0
213,2,2,2,0,1,2
214,2,2,2,1,2,2
215,3,3,3,2,3,0
216,3,0,3,3,3,3
217,1,1,1,1,3,1
218,2,2,2,2,2,0
219,1,1,1,1,1,1
220,1,1,1,1,1,0
221,3,3,3,3,3,3
222,3,3,3,3,3,3
223,0,0,0,0,2,0
224,3,3,2,3,3,3
225,3,3,3,3,3,3
226,0,0,0,0,0,0
227,3,3,0,3,3,3
228,2,3,2,1,2,2
229,1,1,1,1,1,3
230,2,2,2,3,3,2
231,3,3,3,3,1,3
232,1,1,1,1,1,1
233,3,3,3,3,3,2
234,0,2,0,0,2,0
235,3,3,3,3,3,3
236,3,3,3,3,1,3
237,0,0,0,0,1,0
238,2,2,2,2,1,2
239,2,2,0,2,2,2
240,3,3,0,3,3,2
241,2,3,2,2,2,2
242,0,0,0,0,0,1
243,3,2,3,3,3,1
244,0,0,0,0,0,0
245,0,0,0,0,0,0
246,3,3,3,3,3,3
247,3,3,3,3,0,3
248,1,1,1,1,1,1
249,2,2,0,2,2,3
250,2,2,2,2,1,2
251,0,0,0,1,2,2
252,2,2,2,2,1,2
253,3,3,3,3,3,3
