case_id,alg_01,alg_02,alg_03,alg_04,alg_05
case_1,0.8173,0.7933,0.8178,0.8193,0.8123
case_2,0.817,0.8592,0.8566,0.8378,0.8634
case_3,0.7927,0.8366,0.8388,0.8056,0.8143
case_4,0.8188,0.8186,0.8408,0.7952,0.8221
case_5,0.8078,0.8127,0.8629,0.8204,0.8266
case_6,0.7902,0.7782,0.8026,0.7584,0.7634
case_7,0.8278,0.8351,0.8773,0.8243,0.851
case_8,0.8682,0.8606,0.9183,0.8635,0.8417
case_9,0.8834,0.8324,0.8452,0.8306,0.8525
case_10,0.8121,0.8137,0.8049,0.7855,0.8294
case_11,0.7772,0.7851,0.8125,0.7703,0.817
case_12,0.7543,0.7526,0.7699,0.7508,0.7411
case_13,0.6803,0.7001,0.7089,0.6922,0.6968
case_14,0.7692,0.7642,0.776,0.73,0.771
case_15,0.8412,0.8183,0.8714,0.8428,0.8356
case_16,0.8498,0.8665,0.8395,0.8768,0.8443
case_17,0.8378,0.8659,0.8976,0.8649,0.8599
case_18,0.787,0.7913,0.7941,0.8187,0.7941
case_19,0.8177,0.804,0.8577,0.8184,0.8188
case_20,0.7847,0.8389,0.8296,0.8093,0.7973
case_21,0.7956,0.783,0.7843,0.7633,0.7378
case_22,0.7033,0.7495,0.7257,0.7235,0.7134
case_23,0.9272,0.8967,0.9215,0.875,0.9175
case_24,0.8384,0.7775,0.8064,0.7697,0.8048
case_25,0.7964,0.8184,0.8009,0.8557,0.8177
case_26,0.8978,0.8897,0.8991,0.8987,0.877
case_27,0.8065,0.8373,0.829,0.8277,0.845
case_28,0.7714,0.8335,0.7905,0.7912,0.7896
case_29,0.8137,0.7864,0.8192,0.7759,0.7941
case_30,0.7795,0.7606,0.7937,0.7792,0.7579
case_31,0.8003,0.7778,0.8305,0.8054,0.7811
case_32,0.7682,0.7308,0.7938,0.7673,0.7621
case_33,0.7708,0.761,0.7944,0.7656,0.7594
case_34,0.7472,0.7583,0.761,0.7534,0.7228
case_35,0.7957,0.8102,0.814,0.7815,0.7788
case_36,0.8375,0.8432,0.8514,0.826,0.8248
case_37,0.7754,0.7969,0.8227,0.8125,0.7832
case_38,0.7408,0.7798,0.7889,0.7644,0.7613
case_39,0.8643,0.8688,0.9037,0.8552,0.8774
case_40,0.6986,0.7254,0.7715,0.7196,0.7041
case_41,0.757,0.736,0.7724,0.7908,0.7478
case_42,0.8062,0.8481,0.8263,0.8063,0.7918
case_43,0.896,0.9159,0.9072,0.8843,0.8605
case_44,0.7878,0.8027,0.7838,0.7873,0.7832
case_45,0.7952,0.7628,0.7888,0.7224,0.7592
case_46,0.8199,0.8322,0.8256,0.8462,0.8087
case_47,0.8437,0.8336,0.9129,0.8529,0.8694
case_48,0.8279,0.8616,0.8766,0.8409,0.8487
case_49,0.7873,0.7791,0.8135,0.8042,0.8122
case_50,0.801,0.8003,0.8001,0.7912,0.8066
case_51,0.8116,0.8018,0.8401,0.8034,0.8117
case_52,0.8174,0.823,0.8283,0.8199,0.8078
case_53,0.829,0.8616,0.8689,0.8353,0.8376
case_54,0.8512,0.8159,0.8386,0.8267,0.7925
case_55,0.9671,0.946,0.9981,0.9069,0.9604
case_56,0.8525,0.8738,0.916,0.8594,0.9019
case_57,0.7436,0.7467,0.7943,0.7757,0.774
case_58,0.7616,0.7563,0.7744,0.7582,0.7677
case_59,0.7289,0.7181,0.7806,0.7364,0.6877
case_60,0.8643,0.848,0.8915,0.86,0.8687
case_61,0.7254,0.7621,0.7457,0.7318,0.6882
case_62,0.7623,0.7792,0.8291,0.8056,0.783
case_63,0.6875,0.747,0.787,0.6884,0.7243
case_64,0.9045,0.8912,0.9479,0.8704,0.8917
case_65,0.7323,0.7591,0.7861,0.7402,0.7796
case_66,0.8193,0.8031,0.8188,0.8033,0.794
case_67,0.8268,0.8001,0.8428,0.7989,0.8188
case_68,0.8416,0.8684,0.8648,0.8236,0.8762
case_69,0.7787,0.7549,0.7762,0.8013,0.7228
case_70,0.7566,0.793,0.8099,0.7652,0.7876
case_71,0.7175,0.7301,0.7433,0.7399,0.7324
case_72,0.7009,0.7107,0.7344,0.7246,0.7695
case_73,0.863,0.8134,0.8433,0.8255,0.7985
case_74,0.7298,0.7168,0.723,0.6712,0.7249
case_75,0.7403,0.7851,0.7954,0.7848,0.7719
case_76,0.8827,0.9242,0.8902,0.8607,0.9005
case_77,0.7755,0.7884,0.7817,0.779,0.8097
case_78,0.7426,0.7862,0.7777,0.7846,0.8012
case_79,0.8894,0.9038,0.9241,0.8761,0.8865
case_80,0.7647,0.8046,0.8083,0.7662,0.7587
case_81,0.7976,0.8018,0.807,0.7853,0.7974
case_82,0.7765,0.7896,0.8055,0.8287,0.8351
case_83,0.7406,0.7282,0.7972,0.759,0.7605
case_84,0.7885,0.8315,0.8333,0.8099,0.8145
case_85,0.8441,0.8356,0.8629,0.8376,0.857
case_86,0.7586,0.777,0.7571,0.7843,0.7554
case_87,0.7849,0.8321,0.8369,0.8037,0.7833
case_88,0.756,0.7577,0.7713,0.7384,0.7645
case_89,0.7549,0.7511,0.7986,0.7683,0.76
case_90,0.767,0.7543,0.7992,0.7526,0.7662
case_91,0.8522,0.8071,0.8545,0.8487,0.8328
case_92,0.8564,0.8279,0.8597,0.808,0.8262
case_93,0.8331,0.857,0.8826,0.838,0.8173
case_94,0.7091,0.7398,0.7731,0.7074,0.7175
case_95,0.8591,0.8696,0.8621,0.8288,0.8731
case_96,0.8169,0.8249,0.8451,0.8378,0.8282
case_97,0.7655,0.8239,0.8301,0.81,0.8139
case_98,0.7959,0.7921,0.8124,0.8076,0.816
case_99,0.7504,0.7634,0.779,0.7643,0.7543
case_100,0.7513,0.738,0.739,0.7174,0.7332
case_101,0.8366,0.803,0.8418,0.8072,0.7823
case_102,0.8025,0.8384,0.8781,0.841,0.8273
case_103,0.7896,0.7652,0.8207,0.7842,0.8044
case_104,0.8107,0.7959,0.7964,0.824,0.8109
case_105,0.8037,0.7862,0.8102,0.8042,0.7928
case_106,0.7915,0.8054,0.8048,0.8016,0.8065
case_107,0.9028,0.8912,0.9317,0.8931,0.9158
case_108,0.9505,0.9398,0.9773,0.9584,0.9609
case_109,0.7662,0.7552,0.8193,0.7084,0.794
case_110,0.8026,0.817,0.8582,0.8106,0.7993
